company_name,company_name_normalized,dba_name,filer_name,filer_type,first_filing_date,latest_filing_date,total_filing_count,application_count,docket_numbers,is_active,activity_signal,industry_segment,product_summary,market_position,market_position_source,market_position_reason,enrichment_confidence,parsed_address,parsed_city,parsed_state,parsed_phone,parsed_email,parsed_founding_date,key_personnel_count
Ahoi LLC,ahoi llc,,,,2025-01-14,2025-01-14,5,1,25-12,True,"Recent FCC filing (January 14, 2025) for Interconnected VoIP Numbering Authorization. Active company website (ahoi.net) found via search results. LinkedIn company profile exists. Recent trademark registration for telecommunications services including VoIP, SMS, and MMS.",CPaaS,"Ahoi provides communication APIs and platform services including SMS messaging, VoIP, web call APIs, fax services, and AI-powered campaign registration designed for speed and simplicity.",SMB,llm,,High,8 The Green Ste. A,Dover,DE,1888900246,legal@ahoi.net,,0
"AireSpring, Inc.",airespring inc,,,,2016-07-27,2016-07-27,3,3,16-198; 16-248,True,"Active company website found at airespring.com with current business operations described. Web search results show comprehensive service offerings including ""Managed IT, Network Services, Security and Unified Communications for multi-location enterprises"" and references to current partnerships with AT&T. Multiple current web presence indicators across business directories and service provider listings.",UCaaS,"AireSpring is a global managed services provider specializing in Unified Communications, managed IT, network services, and security solutions for multi-location enterprises, offering VoIP, SIP trunking, SD-WAN, and cloud communications services.",Enterprise,llm,,Medium,,Clearwater,FL,,,,0
"Alaska Communications Internet, LLC",alaska communications internet llc,,,,2017-12-07,2017-12-07,2,1,19-117,False,No recent activity since 2017 FCC filing (2017-12-07). Web search results show only directory listings and historical references with no current business activity or website. FCC filing shows 'recent_activity: false'.,Carrier,Provided interconnected VoIP services by accessing facilities of corporate affiliates serving the Anchorage rate center under intra-corporate interconnection agreements.,Unknown,undetermined,,Medium,,Homer,AK,,,,0
"ActionVox, Inc.",actionvox inc,,Allan Noorda,,2025-06-17,2025-06-17,1,1,25-203,True,"Recent FCC filing (2025-06-17) for Interconnected VoIP Numbering Authorization by ActionVox, Inc. where Allan Noorda is listed as CTO. Web search results show Allan Noorda currently active as President at multiple telecom companies including ActionVox Inc. and Talk4All LLC, with experience at VoIP companies like Ytel and Veriswitch.",UCaaS,"ActionVox appears to be an interconnected VoIP service provider, likely offering unified communications services given the VoIP numbering authorization filing and Allan Noorda's background with multiple VoIP and telecom companies.",SMB,rules,industry_segment=UCaaS,Medium,"304 S. Jones Rd. Suite 3708 Las Vegas, NV 89107",Mountain View,10,5412802588,allan.noorda@action-vox.com,,3
ALLO Communications LLC,allo communications llc,,,,2024-04-30,2024-04-30,7,1,24-135,True,"Recent FCC filing (2024-04-30) for interconnected VoIP numbering authorization. Active company website found (allocommunications.com) showing current services. Web search results indicate ongoing operations with fiber services across 50+ locations in multiple states (Nebraska, Colorado, Arizona, Missouri) serving over 1.4 million population. Company founded in 2003 with 20+ years of operations and received SDC Capital Partners investment in 2020.",Carrier,"ALLO Communications is a telecommunications company providing high-speed fiber internet, television, and phone services to residential and business customers across Nebraska, Colorado, Arizona, and Missouri, serving 53+ cities with 100% direct fiber infrastructure.",Mid-Market,llm,,High,330 S 21st ST,Lincoln,NE,8445602556,intagree@qwest.com,,0
AM Communication Labs Inc.,am communication labs inc,,,,2024-10-30,2024-10-30,3,1,24-628,True,Recent FCC filing (2024-10-30) with 3 filings in docket 24-628 for Interconnected VoIP Numbering Authorization. Active company website found (amcomlabs.io) describing current services. LinkedIn company profile shows ongoing business operations. Company email contact (jason@amcomlabs.io) matches domain.,UCaaS,"AM Communication Labs provides cloud-based unified communication solutions including managed speech, carrier services, and VoIP platforms with features for remote customer engagement across devices.",SMB,llm,,High,"11335 NE 122nd Way, Suite 105",Kirkland,WA,1800687753,jason@amcomlabs.io,,4
"RED SPECTRUM COMMUNICATIONS, LLC",red spectrum communications llc,,Andrew Metcalfe,,2017-09-15,2017-09-15,1,1,17-366,False,"Single FCC filing from 2017-09-15 with no recent activity. Web search results contain no relevant information about Andrew Metcalfe or Red Spectrum Communications, LLC - only generic VoIP/telecom content. Email domain appears to be tribal government (.gov), suggesting possible temporary or project-specific entity. No evidence of ongoing operations since 2017.",Carrier,"Filed for interconnected VoIP numbering authorization in 2017, likely to provide voice telecommunications services, but no specific service details available in evidence.",Unknown,undetermined,,Low,"Red Spectrum Communications, LLC",Plummer,ID,,twilliams@cdatribe-nsn.gov,,1
"BRIGHTLINK COMMUNICATIONS, LLC",brightlink communications llc,,Anne Callenbach,,2018-12-11,2018-12-11,1,1,19-17,False,"No evidence of active VoIP business operations. Single FCC filing from 2018 with no recent activity. Web search results show Anne Callenbach as an energy lawyer at Polsinelli law firm, not operating a telecommunications company. No corporate website or business presence found for VoIP services.",Unknown,No evidence of VoIP products or services. Individual appears to be a lawyer specializing in energy law rather than operating a telecommunications business.,Unknown,undetermined,,Low,,,,,,,0
"Apeiron Systems, Inc.",apeiron systems inc,,,,2017-07-28,2017-07-28,2,1,17-218,True,"Multiple strong signals: Active website found at apeiron.io describing current platform services, LinkedIn company page showing VoIP/SMS products, FCC Form 499 filing from April 2023 indicating active interconnected VoIP services and USF contributions, subsidiary relationship with KonaTel Inc as of December 2018",CPaaS,"Apeiron provides a communications platform delivering VoIP, SMS, WebRTC and messaging services to businesses through pay-per-use APIs and GUI interfaces, positioned as a Communications Platform as a Service (CPaaS) provider.",SMB,llm,,High,2629 Manhattan Ave. #166,Hermosa,CA,8882734766,jp@apeironsys.com,2001,2
"Appalachian Telecom, Inc., DBA ATI Broadband","appalachian telecom, inc., dba ati broadband",ATI Broadband,,,2021-03-31,2021-03-31,2,1,21-133,False,"FCC filing from 2021-03-31 with no recent activity since then. Web search results show only historical public notices from 2020 regarding certificate applications, with no current web presence or recent business activity found. The most recent evidence of activity is over 3 years old.",Carrier,Telecommunications carrier providing facilities-based and non-facilities-based competitive local exchange services and intra-state inter-exchange telecommunications services throughout West Virginia.,Unknown,undetermined,,Medium,809 Henry Street,Ravenswood,WE,1304699457,,,1
"ConnectTo Communications, Inc.",connectto communications inc,,Aram Ter-Martirosyan,,2025-02-26,2025-02-26,6,4,25-112,True,"Recent FCC filing (2025-02-26) with 6 total filings under docket 25-112. Multiple recent web search results showing Aram Ter-Martirosyan as CIO of ConnectTo Communications, including March 2025 LA Executive Awards recognition highlighting achievements over past 24 months in AI and telecommunications development.",Carrier,"ConnectTo Communications provides interconnected VoIP services across all US states, with AI-driven software and telecommunications solutions including CRM and infrastructure services.",Mid-Market,rules,"total_filings=6, recent_activity",High,"555 Riverdale, Suite A, Glendale, CA 91204",,,,aram@ConnectTo.com,,0
Fullduplex Limited,fullduplex limited,,Arif Gul,individual_or_unknown,2023-09-29,2023-09-29,1,1,,True,"Recent FCC VoIP numbering authorization filing (2023-09-29). Active mobile app ""VoIP Business"" on Google Play Store with 500+ downloads, developed by Arif Gul. LinkedIn profile shows VoIP expertise with SIP and CCIE certification.",UCaaS,Develops VoIP Business mobile application that provides high-quality audio and video calls for business communication needs.,SMB,llm,,Medium,,Baltimore,MD,,,,0
"Assurance Telecom, LLC",assurance telecom llc,,,,2019-09-19,2019-09-19,1,1,19-335,True,"Georgia state records show ""Status: Active/Compliance"" as of 2021 annual registration (City-Data.com). FCC Form 499 database shows active registration as ""Interconnected VoIP"" provider with CORESID 0028895829 (accessed Jan 4, 2024). Multiple business directory listings remain active on Bizapedia and Georgia Company Registry.",Reseller,"Assurance Telecom is an interconnected VoIP service provider that appears to operate as a telecommunications reseller, providing voice services through VoIP technology.",Unknown,undetermined,,Medium,"730 Peachtree Street NE, Suite 470",Atlanta,GA,4045266060,,,0
"Astro Telco, LLC",astro telco llc,,,,2020-07-28,2020-07-28,2,2,20-248,False,"No recent activity signals found. FCC filing from 2020-07-28 with no subsequent filings (recent_activity: false). Web search results contain no relevant information about Astro Telco, LLC - only unrelated telecommunications industry content. No company website or recent business presence detected.",Carrier,"Applied for FCC interconnected VoIP numbering authorization in 2020, indicating intent to provide VoIP telecommunications services, but no evidence of actual service launch or operations.",Unknown,undetermined,,Low,"2501 N Harwood St, 20th floor, suite 2001",Dallas,TE,4045194096,jet@astrotelco.com,,0
"AT&T Services, Inc.",at&t services inc,,,,2016-04-15,2016-04-15,4,2,16-135; 17-125,True,"Company maintains active official website (att.com) found via web search showing current services and customer support. Web search results indicate AT&T continues as ""a major force in telecommunications"" and provides current services including wireless, internet, and fiber plans with active customer guarantees. Service description from FCC docs states company ""continues to provide those services currently.""",Carrier,"AT&T Services is a major telecommunications carrier providing wireless, internet, fiber, and VoIP services including AT&T Phone (U-verse Voice) delivered over their IP network.",Enterprise,llm,,High,,San Francisco,CA,,Jp7321@att.com,,0
Azka Communication (SMC-Private) Limited,azka communication (smc-private) limited,,Azka Communication (SMC-Private) Limited,,2026-01-15,2026-01-15,1,1,26-17,True,Recent FCC filing (2026-01-15) for Interconnected VoIP Numbering Authorization Application with active email contact (yousaf@azkacommunication.com) and identified key personnel including CEO Muhammad Yousaf and CPO Abdul Wahab. The filing indicates compliance with FCC regulatory obligations.,Carrier,Azka Communication is a provider of interconnected VoIP services that seeks FCC numbering authorization to operate as a telecommunications service provider.,Unknown,undetermined,,Low,yousafmlk042@gmail.com & yousaf@azkacommunication.com,,,,yousaf@azkacommunication.com,,0
Backbone Communications Inc.,backbone communications inc,,,,2016-10-11,2016-10-11,1,1,16-361,False,"Only evidence is a single FCC filing from 2016-10-11 for VoIP numbering authorization with no recent activity. Web search results show no specific information about Backbone Communications Inc., only generic VoIP industry references and unrelated companies with ""backbone"" in their names. No company website, current contact information, or recent business activity found.",UCaaS,"Filed for interconnected VoIP numbering authorization with the FCC in 2016, indicating they provided VoIP telecommunications services, though specific service details are unknown.",SMB,rules,industry_segment=UCaaS,Low,,Los Angeles,CA,,,2007,3
"Bandwidth, Inc.",bandwidth inc,,,,2024-04-16,2024-04-16,1,1,24-127,True,"Recent FCC filing (2024-04-16), active LinkedIn profile with 110,251 followers, publicly traded on NYSE (ticker: BAND), multiple recent web search results including company profile and market analysis mentions",CPaaS,"Bandwidth provides cloud communications platform-as-a-service (CPaaS) solutions enabling enterprises to deliver voice, messaging, and emergency services through APIs and software tools, described as a ""universal communications platform.""",Enterprise,llm,,High,,Raleigh,North,,,,0
Bare Telecom LLC,bare telecom llc,,,,2021-11-16,2021-11-16,1,1,21-454,True,"Company website found via search (baretelecom.com) showing active services and signup options. Listed in FCC Form 499 Filer Database and Campaign Registry as participating company, indicating ongoing regulatory compliance. Website describes current service offerings including VoIP termination, origination, PBX, and dialer services.",Carrier,"Bare Telecom provides VoIP carrier services including termination, origination, PBX solutions, and predictive dialer services, positioning itself as a wholesale carrier for other service providers.",SMB,llm,,Medium,"444 W. Ocean Blvd, 8th Floor",Long,CA,9512944547,,,0
"Barr Tell USA, Inc.",barr tell usa inc,,,,2016-08-02,2016-08-02,2,1,16-252,False,"No recent activity signals found. FCC filing from 2016 with no subsequent filings (last filing 2016-08-02). Web search results only show the company listed in historical telecom directories (Idaho PUC tariffs, AT&T supplier portal, Iconectiv authorized providers) but no active website or recent business activity found.",Carrier,"Provides interconnected VoIP services to retail businesses, seeking numbering authorization to operate as a telecommunications carrier.",SMB,llm,,Medium,,Long Beach,NY,,,,3
Bart Mueller,bart mueller,,,individual,2021-03-16,2021-03-16,1,1,,False,"Single FCC filing from 2021-03-16 with no recent activity. LinkedIn profiles show Bart Mueller working as Director VoIP Operations at SinglePoint Global and later as Senior Director at another company, suggesting this was likely an individual filing rather than an active business entity. No company website or business presence found in web search results.",Unknown,Individual VoIP numbering authorization filing with no clear business entity or product offering identified.,Unknown,undetermined,,Low,,,,,,,0
"Comtel Managed Solutions, LLC",comtel managed solutions llc,,"Benjamin R. Humphreys, Jr.",,2020-10-08,2020-10-08,1,1,20-336,True,"Web search results show Benjamin R. Humphreys Jr. as President/CEO of both Comtel Communications (founded 1991) and Simplicity VoIP, with active company website found at simplicityvoip.net. However, the FCC filing is from 2020-10-08 with no recent activity since then.",UCaaS,"Benjamin R. Humphreys Jr. operates Comtel Communications (a technology consulting agency) and Simplicity VoIP, providing voice and data services in the mid-Atlantic region.",Mid-Market,llm,,Medium,,,,,,,0
"BHN IP Enabled Services, LLC",bhn ip enabled services llc,,,,2024-03-14,2024-03-14,1,1,24-218,True,"Recent FCC filing (March 14, 2024) for VoIP numbering authorization; California CPUC application filed February 28, 2025 for telecommunications certificate; Indiana regulatory filing (September 24, 2024) for Certificate of Territorial Authority; Multiple recent regulatory filings across jurisdictions indicate active business operations",Carrier,"BHN IP Enabled Services provides interconnected Voice over Internet Protocol (VoIP) services and telecommunications services, seeking regulatory authorization to obtain telephone numbers directly and provide communications services across multiple states.",Unknown,undetermined,,Medium,,,,,Michael.Moore@charter.com,,0
"Bluetone Communications, LLC",bluetone communications llc,,,,2020-10-19,2020-10-19,2,1,20-346,False,"Company appears inactive based on: 1) Only FCC filing from 2020-10-19 with no recent activity, 2) Web search results exclusively show FTC warning letters from March 2020 regarding facilitating illegal robocalls/scams, 3) No current operational website or business presence found, 4) ARIN registry shows address update as recent as 2024-11-25 but no business activity evidence",Carrier,"VoIP service provider that filed to provide interconnected VoIP services initially in Texas, but was warned by FTC in 2020 for facilitating illegal coronavirus-related robocalls and scams.",Unknown,undetermined,,Medium,1163 Pittsford-Victor Rd,Pittsford,NE,8662603765,,,1
BluIP Inc.,bluip inc,,,,2017-06-23,2017-06-23,2,1,17-191,True,"Company website found via search (bluip.com) shows current business operations. LinkedIn company profile indicates active presence. FCC Form 499 filing dated April 1, 2025 shows recent regulatory compliance as Universal Service Fund contributor. Multiple business profile sites (RocketReach, Crunchbase) list current revenue ($22M) and employee count (68).",UCaaS,"BluIP provides cloud-based communications and telephony solutions including Hosted PBX, SIP trunking, contact center services, and AI-powered business communications to SMB and enterprise customers across hospitality, healthcare, and other industries.",SMB,llm,,High,"410 S. Rampart, Suite 460",Las Vegas,NV,7026904400,,2011,0
"Boomsourcing, LLC",boomsourcing llc,,,,2021-05-07,2021-05-07,2,1,,False,"Company was acquired by Fusion CX in May 2022 according to web search results, which indicates it no longer operates as an independent entity. FCC filing was from 2021-05-07 with no recent activity. LinkedIn profile shows ""(A Fusion CX Company)"" indicating the acquisition. No independent web presence or recent company activity found.",CCaaS,"Boomsourcing was a call center outsourcing company that provided voice and non-voice customer engagement services using proprietary ""Perfect Pitch Technology"" - a patented hosted call center suite integrating scripted audio into live agent conversations.",Mid-Market,llm,,High,,Herriman,UT,8018054600,jacob@boomsourcing.com,,0
"Bright Packet, Inc.",bright packet inc,,,,2018-09-25,2018-09-25,1,1,18-299,True,"Company website found via search (brightpacket.com shows current services), BBB profile listing active, PitchBook profile indicates ongoing business tracking, and D&B business directory listing shows current operations specializing in telecommunications for federal government agencies",Carrier,"Bright Packet is a telecommunications provider offering IP communication services including voice, network, and cloud services, with specialization in telecommunications and internet infrastructure for federal government agencies and military installations.",Enterprise,llm,,Medium,"800 S. Hope St., Ste 120",Artesia,CA,2132260848,jong@brightpacket.com,2010,0
"Broadband Dynamics, LLC",broadband dynamics llc,,,,2026-01-27,2026-01-27,1,1,,True,Recent FCC filing dated 2026-01-27 for VoIP Numbering Authorization Application indicates current regulatory activity and intent to provide VoIP services,UCaaS,"VoIP service provider seeking numbering authorization to offer voice over IP telecommunications services, likely targeting business communications solutions based on regulatory filing type.",SMB,rules,industry_segment=UCaaS,Low,,Saint Louis,MO,,,,0
"Business Telecommunications Services, Inc.",business telecommunications services inc,,,,2020-06-12,2020-06-12,3,1,20-166,False,"No recent activity signals found. FCC filing was only in 2020 with no recent filings. Web searches return results for different companies (BTS 1981 founded in 1981, not 1993) and an FTC cease and desist letter from 2023 against a Business Telecommunications company, suggesting potential regulatory issues. No active company website or recent business activity found for the 1993-founded entity.",CPaaS,Provider of interconnected VoIP services seeking direct access to numbering resources from NANPA and Pooling Administrator for telecommunications services.,SMB,rules,industry_segment=CPaaS,Medium,,Brick,NJ,,aproano@bts.io,1993,0
"CallTower, Inc.",calltower inc,,,,2024-11-08,2024-11-08,1,1,24-627,True,"Recent FCC filing (2024-11-08) for VoIP numbering authorization, active web presence with multiple recent search results including company reviews and job postings, operational address in South Jordan, UT with complete executive team including President William Rubio and other C-level executives",UCaaS,"CallTower provides hosted enterprise-class Unified Communications solutions including VoIP service, mobile applications, email hosting, unified messaging, audio/web/video conferencing, collaboration tools, and contact center services for businesses nationwide.",Enterprise,llm,,High,10701 S. River Front Pkwy,Henderson,10,,bwatts@calltower.com,1982,1
Carolina Digital Phone Inc,carolina digital phone inc,,,,2020-09-26,2020-09-26,1,1,20-315,True,"Company website found via web search results (carolinadigitalphone.com/about-us/ and carolinadigitalphone.com/inquiry/), indicating active web presence. Additional evidence from recent web content mentioning ""Carolina Digital Phone Celebrates 20 Years"" and company being referenced by other VoIP providers like roanokevoip.com in 2025 context suggests ongoing operations.",UCaaS,"Carolina Digital Phone provides cloud-based telecommunications and interconnected VoIP services, initially focusing on North Carolina with plans for nationwide expansion.",SMB,llm,,Medium,"301 S. Elm Street, Suite 601",Greensboro,NC,3365444000,,,2
CCI Network Services LLC,cci network services llc,,,,2021-02-26,2021-02-26,3,1,21-75,False,No recent activity indicators found. FCC filing from 2021-02-26 with no recent filings (recent_activity: false). FTC warning letter found in search results suggests regulatory issues. Bloomberg and Mergr profiles exist but lack recent activity indicators. No current web presence or recent business activity documented.,Carrier,"Provider of diversified telecom services including voice, data and cloud solutions for enterprise customers and small to medium-sized businesses, based on Mergr profile description.",SMB,llm,,Medium,155 N 400 W Suite 100,Salt,UT,8019944100,,,0
"Cedar Wireless, Inc.",cedar wireless inc,,,,2021-03-31,2021-03-31,1,1,21-117,True,"Multiple web search results show active network infrastructure - AS55243 autonomous system number actively tracked on IPIP.NET, NetworksDB.io, and other network monitoring sites with current IPv4/IPv6 ranges and ISP designation. Network infrastructure references suggest ongoing operations despite no recent FCC activity since 2021.",Carrier,Cedar Wireless appears to be an ISP/network carrier operating autonomous system AS55243 with network infrastructure including IPv4/IPv6 address ranges and network peering arrangements.,Unknown,undetermined,,Medium,,Upland,CA,,,,0
"CenturyLink Communications, LLC",centurylink communications llc,,,,2019-11-14,2019-11-14,3,1,19-349,False,No recent activity signals found. FCC filing from 2019-11-14 with no recent activity noted. Web search results show historical listings but no current operational evidence or recent company activity.,Carrier,"CenturyLink Communications provided interconnected VoIP services across multiple U.S. states including Alabama, Arkansas, Arizona, California, and many others, operating as a telecommunications carrier.",Enterprise,llm,,Medium,,Saint Paul,TH,,intagree@centurylink.com,,0
"Charter IP Enabled Services, LLC",charter ip enabled services llc,,,,2023-04-27,2023-04-27,1,1,23-169,True,"Recent FCC filing (April 27, 2023) for VoIP numbering authorization. Web search results show the company was incorporated in 2023 and appears in telecom databases like localcallingguide.com as an active VoIP provider. Connection to Charter Communications (a major telecom operator) via the @Charter.com email domain suggests ongoing corporate backing.",Carrier,"Charter IP Enabled Services provides VoIP telecommunications services as a subsidiary of Charter Communications, offering internet-based phone services likely integrated with Charter's broader telecommunications offerings.",Enterprise,llm,,Medium,,,,,Michael.Moore@Charter.com,,0
Clear Rate Communications LLC,clear rate communications llc,,,,2025-03-07,2025-03-07,3,1,25-128,True,"Recent FCC filing (2025-03-07) for VoIP numbering authorization shows current regulatory activity. Web search results confirm active business operations with services described across multiple platforms including CBInsights, LinkedIn, and BBB accreditation. Company claims ""For more than 25 years"" of operation and recent investment from Linx Partners indicates ongoing business activity.",UCaaS,"Clear Rate Communications provides unified communications and telecommunications solutions including fiber internet, hosted voice systems, managed IT services, and cloud servers primarily for business customers across 20+ states.",Enterprise,llm,,High,2600 W Big Beaver Rd. - Suite 450,Troy,MI,8778770661,Form499@usac.org,1982,1
"Comcast IP Phone, LLC",comcast ip phone llc,,,,2018-09-17,2018-09-17,1,1,18-298,True,"Active Comcast Business website found via search offering ""business phone and Voice over IP (VoIP) services"", D&B business directory listing found, and company incorporated in 2005 with ongoing registry presence. While FCC filing is from 2018, the parent Comcast organization maintains active VoIP services.",UCaaS,"Comcast IP Phone, LLC is a subsidiary that provides Voice over IP (VoIP) phone services for Comcast Business customers, serving small businesses to enterprise corporations.",Enterprise,llm,,Medium,AT&T Southeast,Philadelphia,PA,,Beth_Choroser@comcast.com,,0
"Comcast Phone of California, LLC",comcast phone of california llc,,,,2025-09-19,2025-09-19,1,1,25-297,True,"Recent FCC filing (2025-09-19) for VoIP numbering authorization. Web search confirms Comcast Phone of California LLC is an active subsidiary providing VoIP services, with regulatory filings and settlement agreements through 2024. Comcast California website shows 5,000 employees serving 3.4 million customers statewide.",UCaaS,"Comcast subsidiary providing VoIP (Voice over Internet Protocol) services including text messaging, call forwarding, voicemail, and local/international calling as part of Comcast's Xfinity service offerings to California customers.",Enterprise,llm,,High,One Comcast Center,Philadelphia,PA,8002662278,Stephanie_Power@comcast.com,,0
"commio, LLC",commio llc,,,,2016-04-25,2016-04-25,5,3,16-196,True,"Web search results show active company presence with Crunchbase profile stating ""Get a demo today"" and BBB profile describing current operations. Mergr indicates acquisition by thinQ on February 1, 2021, suggesting continued operations under new ownership. Multiple search results reference current services and capabilities.",CPaaS,"Commio provides voice and SMS/MMS communication solutions via API, serving as a network interconnection bridge between telecom providers for VoIP calling and messaging services.",SMB,rules,industry_segment=CPaaS,Medium,"11320 Hwy 620 N, Suite: A031",San Francisco,CA,9292666467,,,0
Compatel LLC,compatel llc,,,,2018-05-07,2018-05-07,1,1,18-222,False,"No evidence of current activity. Single FCC filing from 2018-05-07 with no recent filings or supplements. Web search results show no company-specific information, only generic VoIP directory pages in various languages that do not mention Compatel LLC.",UCaaS,"Applied for FCC interconnected VoIP numbering authorization in 2018, indicating intent to provide VoIP communication services, but no evidence of actual service deployment or current operations.",SMB,rules,industry_segment=UCaaS,Low,,Plainfield,IN,,,,0
